"warm","yr89","male","white","age","ed","prst","warmlt2","warmlt3","warmlt4"
1,0,0,1,33,10,31,1,1,1
1,0,1,1,74,16,50,1,1,1
1,1,1,1,36,12,41,1,1,1
1,0,0,1,73,9,36,1,1,1
1,0,0,1,59,11,62,1,1,1
1,1,1,1,33,4,17,1,1,1
1,0,0,1,43,7,40,1,1,1
1,0,0,1,48,12,48,1,1,1
1,0,1,1,27,17,69,1,1,1
1,0,1,1,46,12,50,1,1,1
1,1,1,1,75,8,41,1,1,1
1,0,1,1,34,12,47,1,1,1
1,0,0,1,64,11,40,1,1,1
1,0,1,1,46,12,31,1,1,1
1,0,0,1,59,12,55,1,1,1
1,1,0,0,42,6,12,1,1,1
1,0,1,1,53,12,61,1,1,1
1,0,0,1,44,8,25,1,1,1
1,0,1,1,53,7,45,1,1,1
1,0,1,1,62,12,35,1,1,1
1,0,1,1,32,15,70,1,1,1
1,0,0,1,48,8,19,1,1,1
1,0,0,1,36,12,48,1,1,1
1,0,0,1,25,12,46,1,1,1
1,0,1,1,70,8,41,1,1,1
1,0,0,1,38,12,50,1,1,1
1,0,1,1,82,5,39,1,1,1
1,0,0,1,28,12,36,1,1,1
1,0,1,1,25,12,27,1,1,1
1,0,1,0,45,12,40,1,1,1
1,0,1,1,49,5,16,1,1,1
1,0,0,0,56,9,20,1,1,1
1,1,1,1,61,4,34,1,1,1
1,0,1,1,54,16,50,1,1,1
1,0,0,1,77,13,60,1,1,1
1,0,1,1,57,17,78,1,1,1
1,0,1,1,57,8,19,1,1,1
1,1,1,1,19,11,17,1,1,1
1,0,1,1,51,9,28,1,1,1
1,1,1,1,68,14,37,1,1,1
1,0,1,1,47,8,32,1,1,1
1,0,0,1,64,8,27,1,1,1
1,0,1,1,25,12,34,1,1,1
1,0,0,1,73,8,39,1,1,1
1,0,0,1,59,11,34,1,1,1
1,0,0,1,58,10,47,1,1,1
1,1,0,1,65,11,50,1,1,1
1,0,0,1,22,12,29,1,1,1
1,0,1,1,55,8,28,1,1,1
1,0,0,1,38,12,25,1,1,1
1,0,1,1,75,8,41,1,1,1
1,0,1,1,63,8,30,1,1,1
1,1,1,1,56,15,43,1,1,1
1,1,1,0,70,4,32,1,1,1
1,0,1,1,65,9,48,1,1,1
1,0,1,1,49,10,29,1,1,1
1,0,0,1,25,12,23,1,1,1
1,0,1,0,41,11,26,1,1,1
1,0,0,1,53,12,36,1,1,1
1,0,0,1,54,12,48,1,1,1
1,0,0,1,58,15,62,1,1,1
1,0,0,1,20,12,15,1,1,1
1,0,1,1,42,8,41,1,1,1
1,0,0,1,68,11,61,1,1,1
1,0,0,1,44,12,36,1,1,1
1,0,1,1,36,16,69,1,1,1
1,0,1,1,49,12,36,1,1,1
1,0,0,1,46,13,36,1,1,1
1,0,1,0,50,12,17,1,1,1
1,0,1,1,29,12,40,1,1,1
1,0,1,1,27,14,17,1,1,1
1,0,0,1,54,6,12,1,1,1
1,0,1,1,73,6,33,1,1,1
1,0,0,1,38,12,36,1,1,1
1,0,0,1,69,5,26,1,1,1
1,0,0,1,50,10,14,1,1,1
1,0,0,1,22,12,50,1,1,1
1,0,0,1,42,12,46,1,1,1
1,1,0,1,45,12,18,1,1,1
1,1,1,1,35,12,35,1,1,1
1,0,0,1,49,9,19,1,1,1
1,0,1,1,28,20,78,1,1,1
1,0,1,1,34,12,45,1,1,1
1,1,0,1,85,10,36,1,1,1
1,0,1,1,32,18,60,1,1,1
1,0,1,1,56,12,56,1,1,1
1,0,1,1,83,5,51,1,1,1
1,0,1,1,43,5,25,1,1,1
1,0,1,1,53,15,36,1,1,1
1,0,0,1,43,12,34,1,1,1
1,1,1,1,57,12,12,1,1,1
1,0,1,1,67,12,52,1,1,1
1,1,0,1,47,12,50,1,1,1
1,0,1,1,70,14,34,1,1,1
1,0,0,1,26,14,48,1,1,1
1,0,0,0,27,13,26,1,1,1
1,0,0,1,40,10,25,1,1,1
1,0,1,1,20,12,29,1,1,1
1,1,1,1,47,14,45,1,1,1
1,0,0,0,24,12,40,1,1,1
1,0,1,1,63,16,69,1,1,1
1,1,1,1,41,15,37,1,1,1
1,1,1,1,19,12,22,1,1,1
1,0,1,1,21,10,32,1,1,1
1,0,1,1,69,14,22,1,1,1
1,0,0,1,42,12,40,1,1,1
1,0,0,1,22,15,41,1,1,1
1,0,0,1,68,8,48,1,1,1
1,0,0,1,55,10,46,1,1,1
1,0,1,1,56,12,40,1,1,1
1,0,1,0,67,5,17,1,1,1
1,1,0,1,46,16,57,1,1,1
1,0,1,1,66,8,17,1,1,1
1,0,0,1,67,12,46,1,1,1
1,0,0,1,26,10,20,1,1,1
1,0,1,1,34,12,57,1,1,1
1,1,0,0,70,12,12,1,1,1
1,0,1,1,66,12,47,1,1,1
1,0,0,1,40,12,46,1,1,1
1,0,0,0,68,12,26,1,1,1
1,1,1,1,57,14,48,1,1,1
1,0,0,1,36,12,46,1,1,1
1,0,1,1,45,10,19,1,1,1
1,0,1,1,59,16,57,1,1,1
1,0,0,1,42,12,25,1,1,1
1,0,1,1,36,17,52,1,1,1
1,0,0,1,53,5,26,1,1,1
1,0,0,1,46,12,36,1,1,1
1,0,1,1,36,10,17,1,1,1
1,0,0,0,40,12,36,1,1,1
1,0,1,1,49,13,17,1,1,1
1,1,1,0,47,4,17,1,1,1
1,0,1,1,19,12,23,1,1,1
1,0,0,1,63,12,31,1,1,1
1,1,0,1,89,8,18,1,1,1
1,1,0,1,66,12,33,1,1,1
1,0,1,1,64,8,30,1,1,1
1,0,0,1,74,7,18,1,1,1
1,0,0,1,85,12,36,1,1,1
1,1,0,1,38,12,46,1,1,1
1,0,1,1,37,12,18,1,1,1
1,0,0,1,49,12,44,1,1,1
1,0,1,1,29,12,17,1,1,1
1,0,1,1,61,12,16,1,1,1
1,0,1,1,49,12,33,1,1,1
1,0,0,1,23,13,25,1,1,1
1,0,1,0,58,4,17,1,1,1
1,1,0,1,42,9,50,1,1,1
1,0,0,1,63,9,34,1,1,1
1,1,0,1,69,8,26,1,1,1
1,0,0,1,28,12,36,1,1,1
1,0,1,1,56,8,41,1,1,1
1,0,0,1,71,14,14,1,1,1
1,0,1,1,39,12,40,1,1,1
1,0,1,1,61,9,37,1,1,1
1,0,0,1,26,15,56,1,1,1
1,0,1,1,59,8,50,1,1,1
1,1,1,1,54,16,34,1,1,1
1,0,0,1,62,9,50,1,1,1
1,0,0,1,23,14,50,1,1,1
1,0,1,1,41,12,41,1,1,1
1,0,1,1,50,12,26,1,1,1
1,0,0,0,38,13,25,1,1,1
1,1,1,1,89,8,32,1,1,1
1,0,0,1,70,16,63,1,1,1
1,0,0,1,26,14,34,1,1,1
1,1,0,1,37,15,61,1,1,1
1,0,0,0,63,14,18,1,1,1
1,0,1,1,64,11,37,1,1,1
1,0,1,1,44,9,32,1,1,1
1,0,1,1,67,3,32,1,1,1
1,0,0,1,25,12,27,1,1,1
1,1,1,1,49,15,22,1,1,1
1,0,1,1,41,9,49,1,1,1
1,0,0,1,68,8,20,1,1,1
1,0,0,1,35,12,62,1,1,1
1,1,1,1,51,12,40,1,1,1
1,0,1,1,65,6,32,1,1,1
1,0,0,1,40,12,34,1,1,1
1,0,0,1,58,8,36,1,1,1
1,0,1,1,35,16,69,1,1,1
1,0,0,1,62,8,27,1,1,1
1,1,0,1,44,13,50,1,1,1
1,0,1,1,63,8,40,1,1,1
1,1,0,1,61,12,34,1,1,1
1,1,0,1,71,12,25,1,1,1
1,0,1,1,52,8,49,1,1,1
1,0,0,1,23,12,46,1,1,1
1,0,1,1,57,11,31,1,1,1
1,0,1,1,42,12,34,1,1,1
1,1,0,1,47,12,50,1,1,1
1,0,1,1,25,12,41,1,1,1
1,0,1,1,71,8,30,1,1,1
1,0,1,1,40,16,54,1,1,1
1,0,1,1,44,6,26,1,1,1
1,0,0,1,33,14,51,1,1,1
1,0,1,1,58,8,40,1,1,1
1,0,1,1,71,10,26,1,1,1
1,0,1,1,70,5,36,1,1,1
1,0,0,1,46,14,36,1,1,1
1,1,1,1,58,6,30,1,1,1
1,0,0,1,33,6,29,1,1,1
1,0,1,1,53,3,37,1,1,1
1,0,0,1,22,12,48,1,1,1
1,0,1,1,51,10,45,1,1,1
1,0,0,1,54,10,19,1,1,1
1,1,1,1,64,12,45,1,1,1
1,0,1,1,38,9,17,1,1,1
1,0,1,1,68,10,41,1,1,1
1,0,1,1,53,9,19,1,1,1
1,0,1,1,53,12,61,1,1,1
1,1,0,1,50,16,62,1,1,1
1,0,0,1,45,11,32,1,1,1
1,0,0,1,71,10,34,1,1,1
1,0,1,1,60,12,41,1,1,1
1,1,0,1,81,8,31,1,1,1
1,0,0,1,42,12,34,1,1,1
1,1,1,1,65,18,36,1,1,1
1,0,1,1,58,12,30,1,1,1
1,0,0,0,57,4,18,1,1,1
1,0,0,1,21,12,45,1,1,1
1,1,0,1,29,12,46,1,1,1
1,0,0,1,76,12,48,1,1,1
1,0,1,1,36,12,78,1,1,1
1,0,1,1,40,17,50,1,1,1
1,0,1,1,32,9,40,1,1,1
1,0,1,1,55,11,50,1,1,1
1,1,1,0,52,12,32,1,1,1
1,1,1,1,66,14,32,1,1,1
1,1,1,1,27,13,45,1,1,1
1,0,0,1,56,12,23,1,1,1
1,0,0,1,71,8,32,1,1,1
1,0,1,1,72,14,39,1,1,1
1,1,1,1,71,20,69,1,1,1
1,1,1,0,62,0,26,1,1,1
1,0,1,1,59,12,45,1,1,1
1,0,1,1,25,12,36,1,1,1
1,1,1,0,55,4,41,1,1,1
1,0,1,1,29,9,35,1,1,1
1,0,0,1,45,7,25,1,1,1
1,0,1,1,73,10,47,1,1,1
1,0,1,1,69,12,45,1,1,1
1,0,0,0,27,10,33,1,1,1
1,1,1,1,34,12,48,1,1,1
1,1,0,1,32,12,50,1,1,1
1,0,1,1,71,5,17,1,1,1
1,0,0,1,36,14,42,1,1,1
1,0,1,1,54,13,51,1,1,1
1,0,1,1,69,8,41,1,1,1
1,0,0,1,64,7,29,1,1,1
1,0,1,1,48,12,32,1,1,1
1,0,0,1,37,9,31,1,1,1
1,1,1,1,48,17,32,1,1,1
1,0,0,1,51,12,39,1,1,1
1,0,1,1,37,8,29,1,1,1
1,0,0,1,70,12,46,1,1,1
1,0,1,1,33,15,36,1,1,1
1,0,1,1,59,6,16,1,1,1
1,0,0,1,25,11,32,1,1,1
1,0,0,0,69,3,16,1,1,1
1,0,1,1,59,9,41,1,1,1
1,0,0,1,45,4,25,1,1,1
1,0,1,1,34,14,37,1,1,1
1,0,0,1,20,12,16,1,1,1
1,0,1,1,61,16,47,1,1,1
1,0,0,1,37,11,36,1,1,1
1,0,0,1,57,8,36,1,1,1
1,0,1,1,72,8,17,1,1,1
1,0,0,1,73,10,48,1,1,1
1,0,1,0,37,19,82,1,1,1
1,1,0,1,20,12,31,1,1,1
1,0,0,1,73,12,60,1,1,1
1,1,1,1,82,11,32,1,1,1
1,1,1,1,30,16,16,1,1,1
1,0,1,1,68,7,48,1,1,1
1,0,0,1,70,12,41,1,1,1
1,1,0,1,55,9,16,1,1,1
1,0,1,1,23,11,25,1,1,1
1,0,1,1,48,10,30,1,1,1
1,0,0,1,69,7,20,1,1,1
1,0,0,1,30,12,50,1,1,1
1,0,1,1,68,3,37,1,1,1
1,1,0,1,69,11,50,1,1,1
1,1,1,1,79,16,62,1,1,1
1,0,1,1,45,12,32,1,1,1
1,1,0,0,54,12,34,1,1,1
1,1,1,1,37,16,69,1,1,1
1,0,0,1,54,13,72,1,1,1
1,0,0,1,30,11,31,1,1,1
1,0,0,1,44,12,50,1,1,1
1,0,0,1,56,12,36,1,1,1
1,1,1,1,82,12,41,1,1,1
1,0,1,1,72,12,32,1,1,1
1,0,0,1,57,12,45,1,1,1
1,1,1,1,82,9,32,1,1,1
1,0,0,1,66,9,33,1,1,1
1,0,0,0,58,12,42,1,1,1
2,0,0,1,25,14,39,0,1,1
2,1,0,1,62,16,62,0,1,1
2,0,0,1,58,12,34,0,1,1
2,0,0,1,40,12,22,0,1,1
2,0,1,1,20,14,17,0,1,1
2,1,0,1,88,10,39,0,1,1
2,0,1,1,87,8,41,0,1,1
2,1,0,1,28,12,38,0,1,1
2,0,1,1,68,9,41,0,1,1
2,1,0,1,83,4,42,0,1,1
2,1,1,0,33,16,32,0,1,1
2,0,0,1,62,8,12,0,1,1
2,0,0,1,26,12,46,0,1,1
2,0,1,0,57,7,16,0,1,1
2,0,1,1,42,13,68,0,1,1
2,0,0,1,26,12,19,0,1,1
2,1,0,1,20,13,25,0,1,1
2,0,1,1,75,6,50,0,1,1
2,0,1,1,66,12,36,0,1,1
2,0,0,1,79,4,25,0,1,1
2,0,0,1,73,8,27,0,1,1
2,1,0,1,50,12,46,0,1,1
2,0,0,1,57,8,27,0,1,1
2,0,0,1,62,12,31,0,1,1
2,0,1,1,52,8,28,0,1,1
2,1,0,1,51,11,36,0,1,1
2,1,0,1,60,13,50,0,1,1
2,0,0,1,57,12,15,0,1,1
2,0,1,1,75,11,37,0,1,1
2,0,1,1,36,17,50,0,1,1
2,0,0,1,42,16,36,0,1,1
2,0,1,1,33,18,72,0,1,1
2,1,1,1,27,19,82,0,1,1
2,0,0,1,50,12,44,0,1,1
2,1,1,1,83,8,34,0,1,1
2,1,1,1,62,12,26,0,1,1
2,0,1,0,74,11,29,0,1,1
2,0,1,0,58,19,57,0,1,1
2,1,0,0,47,10,28,0,1,1
2,1,0,1,55,12,36,0,1,1
2,1,1,1,40,20,47,0,1,1
2,1,0,1,67,12,48,0,1,1
2,0,1,1,64,16,57,0,1,1
2,1,1,1,59,13,40,0,1,1
2,0,0,0,75,12,36,0,1,1
2,1,0,1,65,11,25,0,1,1
2,1,0,1,73,13,33,0,1,1
2,1,1,1,36,14,50,0,1,1
2,0,1,1,45,16,62,0,1,1
2,0,1,1,27,17,67,0,1,1
2,0,1,1,46,12,38,0,1,1
2,1,1,1,25,16,62,0,1,1
2,0,1,0,45,8,29,0,1,1
2,0,0,0,55,9,18,0,1,1
2,1,1,1,36,12,16,0,1,1
2,0,1,1,22,12,17,0,1,1
2,0,1,1,60,8,33,0,1,1
2,1,1,1,25,12,42,0,1,1
2,1,1,1,42,17,62,0,1,1
2,1,0,1,33,15,51,0,1,1
2,0,0,1,66,8,25,0,1,1
2,0,1,1,62,6,29,0,1,1
2,1,0,1,22,12,39,0,1,1
2,0,0,1,84,14,60,0,1,1
2,0,1,1,24,16,57,0,1,1
2,0,0,1,53,9,29,0,1,1
2,0,0,1,72,9,40,0,1,1
2,0,0,1,66,6,34,0,1,1
2,0,0,1,26,10,20,0,1,1
2,0,0,1,34,12,36,0,1,1
2,0,0,1,57,17,62,0,1,1
2,0,0,1,24,12,25,0,1,1
2,0,0,1,47,8,20,0,1,1
2,1,1,1,72,10,40,0,1,1
2,0,1,1,34,12,50,0,1,1
2,1,0,1,38,12,30,0,1,1
2,0,1,1,63,9,32,0,1,1
2,1,0,1,64,16,60,0,1,1
2,0,1,1,47,8,40,0,1,1
2,0,0,0,34,15,36,0,1,1
2,0,1,1,34,14,34,0,1,1
2,1,1,1,36,16,61,0,1,1
2,1,1,1,32,16,51,0,1,1
2,1,1,1,24,13,47,0,1,1
2,0,0,1,54,13,48,0,1,1
2,0,1,0,51,10,27,0,1,1
2,0,1,1,67,12,39,0,1,1
2,0,1,1,27,20,54,0,1,1
2,1,1,1,35,12,31,0,1,1
2,1,0,1,31,14,37,0,1,1
2,1,0,1,25,10,23,0,1,1
2,0,1,1,33,12,17,0,1,1
2,1,0,0,63,5,26,0,1,1
2,0,1,1,59,7,26,0,1,1
2,0,0,1,63,11,25,0,1,1
2,0,1,1,59,20,54,0,1,1
2,1,1,1,38,7,32,0,1,1
2,0,1,1,23,16,36,0,1,1
2,0,0,1,59,8,32,0,1,1
2,1,0,1,36,12,32,0,1,1
2,0,0,1,46,13,46,0,1,1
2,1,1,1,53,12,72,0,1,1
2,1,1,0,25,16,60,0,1,1
2,0,1,1,31,18,50,0,1,1
2,0,1,1,44,12,45,0,1,1
2,1,1,1,22,14,37,0,1,1
2,0,0,0,42,11,22,0,1,1
2,1,1,1,75,6,31,0,1,1
2,0,1,1,65,8,39,0,1,1
2,0,1,1,43,8,23,0,1,1
2,0,1,1,62,16,60,0,1,1
2,1,0,1,19,12,22,0,1,1
2,0,1,1,50,12,40,0,1,1
2,1,1,1,80,11,72,0,1,1
2,0,1,1,61,9,30,0,1,1
2,1,1,0,31,17,51,0,1,1
2,1,0,1,19,12,50,0,1,1
2,0,0,1,57,10,36,0,1,1
2,0,1,1,25,13,56,0,1,1
2,1,1,1,64,12,48,0,1,1
2,0,0,0,71,6,18,0,1,1
2,0,0,1,40,10,45,0,1,1
2,0,0,1,31,12,46,0,1,1
2,1,0,1,60,14,46,0,1,1
2,0,0,1,79,8,32,0,1,1
2,0,1,1,72,10,32,0,1,1
2,0,1,0,26,17,63,0,1,1
2,1,0,1,66,12,72,0,1,1
2,0,1,1,51,7,32,0,1,1
2,0,1,1,23,12,26,0,1,1
2,0,1,1,74,10,50,0,1,1
2,0,0,0,30,10,18,0,1,1
2,1,1,1,46,15,17,0,1,1
2,1,1,0,44,13,30,0,1,1
2,0,0,1,64,17,55,0,1,1
2,0,0,1,59,6,18,0,1,1
2,0,0,1,27,12,17,0,1,1
2,0,0,1,76,8,39,0,1,1
2,0,0,1,50,11,34,0,1,1
2,0,0,1,50,9,22,0,1,1
2,0,0,1,71,10,46,0,1,1
2,0,1,1,50,15,56,0,1,1
2,1,1,1,69,8,39,0,1,1
2,1,1,1,76,14,36,0,1,1
2,0,0,1,53,8,23,0,1,1
2,1,0,1,44,14,39,0,1,1
2,1,1,1,68,16,19,0,1,1
2,1,1,0,28,12,36,0,1,1
2,1,0,1,30,12,31,0,1,1
2,0,0,1,36,12,48,0,1,1
2,0,0,0,63,12,20,0,1,1
2,0,1,1,48,16,67,0,1,1
2,0,0,1,23,13,36,0,1,1
2,0,1,1,63,15,50,0,1,1
2,0,0,1,63,9,30,0,1,1
2,0,0,1,31,12,26,0,1,1
2,0,1,1,27,16,34,0,1,1
2,0,1,1,40,13,41,0,1,1
2,0,0,1,68,12,31,0,1,1
2,1,0,1,38,12,50,0,1,1
2,0,0,1,74,10,19,0,1,1
2,1,1,1,50,12,22,0,1,1
2,0,0,0,43,6,18,0,1,1
2,0,1,1,44,11,23,0,1,1
2,0,1,1,30,11,35,0,1,1
2,0,0,1,31,12,27,0,1,1
2,1,1,1,49,9,41,0,1,1
2,0,1,1,42,11,36,0,1,1
2,1,0,1,78,10,31,0,1,1
2,0,1,1,36,12,32,0,1,1
2,0,1,1,50,11,33,0,1,1
2,0,0,1,66,11,26,0,1,1
2,0,1,1,51,8,32,0,1,1
2,0,1,0,41,9,34,0,1,1
2,0,1,1,45,12,32,0,1,1
2,0,1,1,51,12,48,0,1,1
2,1,0,0,32,14,36,0,1,1
2,0,1,1,34,8,17,0,1,1
2,0,0,1,43,12,46,0,1,1
2,1,1,1,61,11,61,0,1,1
2,0,1,1,74,8,39,0,1,1
2,0,1,1,30,12,39,0,1,1
2,1,1,1,65,12,41,0,1,1
2,1,0,1,27,16,48,0,1,1
2,0,1,1,33,12,32,0,1,1
2,1,0,1,85,12,34,0,1,1
2,0,1,0,23,16,69,0,1,1
2,1,0,1,32,12,34,0,1,1
2,1,0,1,61,12,23,0,1,1
2,1,1,1,30,12,50,0,1,1
2,1,0,1,73,12,14,0,1,1
2,1,0,0,24,12,15,0,1,1
2,0,0,1,87,8,36,0,1,1
2,0,1,1,77,16,45,0,1,1
2,1,1,1,66,8,33,0,1,1
2,0,0,1,59,11,34,0,1,1
2,0,1,1,41,9,30,0,1,1
2,0,0,1,26,12,20,0,1,1
2,0,0,1,79,5,19,0,1,1
2,1,1,1,34,13,51,0,1,1
2,0,1,1,64,8,41,0,1,1
2,0,0,1,45,12,34,0,1,1
2,0,1,1,76,6,30,0,1,1
2,0,1,1,61,12,58,0,1,1
2,1,1,1,31,14,50,0,1,1
2,0,1,1,73,16,57,0,1,1
2,0,0,1,27,12,41,0,1,1
2,0,1,1,62,12,50,0,1,1
2,0,0,1,54,7,25,0,1,1
2,0,0,1,81,9,18,0,1,1
2,1,0,1,52,12,43,0,1,1
2,1,1,1,20,12,47,0,1,1
2,0,1,1,75,20,82,0,1,1
2,0,1,1,46,16,55,0,1,1
2,1,0,1,64,12,25,0,1,1
2,0,0,1,27,14,48,0,1,1
2,0,1,0,81,5,17,0,1,1
2,1,0,1,78,8,20,0,1,1
2,0,1,1,19,10,17,0,1,1
2,1,0,1,65,12,31,0,1,1
2,0,1,0,28,11,48,0,1,1
2,0,1,0,27,12,17,0,1,1
2,0,0,1,39,8,19,0,1,1
2,1,1,0,47,12,43,0,1,1
2,1,1,1,29,16,34,0,1,1
2,0,0,1,55,10,20,0,1,1
2,0,1,0,28,12,28,0,1,1
2,1,0,1,38,14,37,0,1,1
2,0,1,1,76,4,32,0,1,1
2,0,1,1,56,12,36,0,1,1
2,0,0,1,31,4,36,0,1,1
2,0,1,1,24,12,30,0,1,1
2,0,1,1,45,12,32,0,1,1
2,0,1,1,62,11,19,0,1,1
2,0,0,1,61,16,60,0,1,1
2,0,1,1,49,8,37,0,1,1
2,1,0,1,47,12,36,0,1,1
2,1,1,1,88,19,76,0,1,1
2,0,1,1,46,11,32,0,1,1
2,1,0,1,33,14,36,0,1,1
2,1,0,1,40,16,51,0,1,1
2,1,1,1,33,16,50,0,1,1
2,0,1,1,86,14,17,0,1,1
2,0,0,1,64,11,36,0,1,1
2,0,1,0,63,3,36,0,1,1
2,0,1,1,57,16,47,0,1,1
2,0,0,1,41,12,26,0,1,1
2,1,1,1,89,11,32,0,1,1
2,0,0,1,41,12,36,0,1,1
2,1,0,0,51,12,36,0,1,1
2,0,1,1,33,12,40,0,1,1
2,1,1,1,50,12,49,0,1,1
2,1,1,1,73,12,40,0,1,1
2,0,1,1,43,5,33,0,1,1
2,0,1,1,22,12,33,0,1,1
2,1,1,1,79,12,76,0,1,1
2,1,1,1,53,12,37,0,1,1
2,0,1,1,32,8,40,0,1,1
2,0,1,1,53,12,22,0,1,1
2,0,1,1,37,16,41,0,1,1
2,0,1,1,63,12,50,0,1,1
2,1,0,0,72,8,20,0,1,1
2,0,0,1,60,12,36,0,1,1
2,1,0,1,73,12,46,0,1,1
2,0,0,1,47,12,31,0,1,1
2,1,0,0,41,18,69,0,1,1
2,1,0,1,54,18,56,0,1,1
2,0,0,1,50,7,36,0,1,1
2,0,0,1,42,10,27,0,1,1
2,0,1,1,59,17,60,0,1,1
2,0,0,1,64,10,46,0,1,1
2,0,0,1,43,8,41,0,1,1
2,0,1,1,51,9,17,0,1,1
2,0,1,1,50,12,38,0,1,1
2,0,1,1,77,8,41,0,1,1
2,1,0,0,54,13,36,0,1,1
